date,text
2024-11-12 04:04:46+00:00,220 270 3rd target hit book your 100 profit book profit trail stop loss profit
2024-11-12 04:04:19+00:00,220 270
2024-11-12 03:58:12+00:00,220 260 2nd target hit book your 70 profit book profit trail stop loss profit
2024-11-12 03:57:53+00:00,220 260
2024-11-12 03:57:39+00:00,220 250 1st target hit book your 50 profit book profit trail stop loss profit
2024-11-12 03:57:23+00:00,220 250
2024-11-12 03:56:53+00:00,220 240
2024-11-12 03:56:37+00:00,220 230
2024-11-12 03:56:24+00:00,220 220
2024-11-12 03:54:49+00:00,banknifty 13 nov 52000 pe buy above 220 current price 220 target250260270 stoploss paid
2024-11-11 13:59:10+00:00,today fiidii data 11112024 fii sell net 230688 cr dii buy net 202663 cr net selling 28025 cr
2024-11-11 13:58:20+00:00,192 lacs profit booked
2024-11-11 08:26:38+00:00,bank nifty 260 760 new high 500 point done bank nifty paper trade study
2024-11-11 08:26:22+00:00,bank nifty 260 710 new high 450 point done bank nifty paper trade study
2024-11-11 07:24:19+00:00,bank nifty 260 660 new high 400 point done bank nifty paper trade study
2024-11-11 07:23:34+00:00,bank nifty 260 610 new high 350 point done bank nifty paper trade study
2024-11-11 07:23:20+00:00,bank nifty 260 560 new high 300 point done bank nifty paper trade study
2024-11-11 05:33:53+00:00,bank nifty 260 510 new high 250 point done bank nifty paper trade study
2024-11-11 05:33:39+00:00,bank nifty 260 460 new high 200 point done bank nifty paper trade study
2024-11-11 05:33:21+00:00,bank nifty 260 410 new high 150 point done bank nifty paper trade study
2024-11-11 04:19:44+00:00,260 360
2024-11-11 04:19:38+00:00,260 350
2024-11-11 04:19:33+00:00,260 340
2024-11-11 04:19:28+00:00,260 330
2024-11-11 04:19:24+00:00,260 320
2024-11-11 04:12:49+00:00,260 310 3rd target hit book your 100 profit book profit trail stop loss profit
2024-11-11 04:12:29+00:00,260 310
2024-11-11 04:12:01+00:00,morning trade join payment link index premium stock options join now
2024-11-11 03:59:24+00:00,260 300 2nd target hit book your 70 profit book profit trail stop loss profit
2024-11-11 03:58:57+00:00,260 300
2024-11-11 03:58:29+00:00,260 290 1st target hit book your 50 profit book profit trail stop loss profit
2024-11-11 03:56:43+00:00,260 290
2024-11-11 03:56:38+00:00,260 280
2024-11-11 03:56:34+00:00,260 270
2024-11-11 03:56:27+00:00,260 260
2024-11-11 03:55:34+00:00,banknifty 13 nov 51500 ce buy above 260 current price 260 target290300310 stoploss paid
2024-11-08 04:36:32+00:00,270 370
2024-11-08 04:36:25+00:00,270 360
2024-11-08 04:36:19+00:00,270 350
2024-11-08 04:36:14+00:00,270 340
2024-11-08 04:36:09+00:00,270 330
2024-11-08 04:31:56+00:00,demo trade join payment link index premium stock options
2024-11-08 04:02:28+00:00,270 320 3rd target hit book your 100 profit book profit trail stop loss profit
2024-11-08 04:02:04+00:00,270 320
2024-11-08 03:57:29+00:00,270 310 2nd target hit book your 70 profit book profit trail stop loss profit
2024-11-08 03:57:11+00:00,270 310
2024-11-08 03:57:00+00:00,270 300 1st target hit book your 50 profit book profit trail stop loss profit
2024-11-08 03:56:41+00:00,270 300
2024-11-08 03:56:36+00:00,270 290
